Old Text,New Text,Label
t,Visit,
Qvuit,DR.,
DR.,JORDAN'S,
JORDAN'S,Great,
(ff||Museym,Museym,
of,of,
Anatomy,Anatomy,
I,1051,
?Tv,MARKET,
:0,ST.,
"""",bet.,
KAISSI,6th,
SI.,&amp;,
ist,"7th,",
Cti,S.F.,
1,Cal.,
'l,The,
£■#$,Largest,
Tt,of,
"""",it's,
L,kind,
"""",in,
g,the,
"*""",World.,
II,We,
fffiSS,are,
w,continually,
"""",adding,
"""°",new,
&lt;*&gt;»tln.iaUj,specimens.,
},Come,
iw^'jfCiiißelii'l,and,
learn,learn,
bow,how,
WBderfullj,wonderfully,
yoa,you,
we,are,
tuul.,made.,
V\l,and,
B,how,
soil,to,
how,avoid,
to,sickness,
avOlJ,and,
si*,disease.,
k»fM,If,
auil,you,
i\,suffer,
1,from,
I,any,
mfte,of,
from,the,
ao,ills,
jof,of,
tbe,"men,",
ill!,come,
9t,to,
nen.,the,
h,oldest,
p»M'.«»,Specialist,
specialist,on,
cv,the,
Uw,Paciffic,
Pacillo,Coast,
k,DR.,
I*M.,JORDAN,
JTORH,-,
\SM»HIVATE,PRIVATE,
DISEASES,DISEASES,
r,Consultation,
OonsqUaUoofTMaadatrtetlrßrirate.,free,
Trralmpnt,and,
(*rwn-,strictly,
k,ally,
«llj,or,
nr,by,
hj,letter.,
teller.,STrHII.II,
STrHII.II,thorough];,
thorough];,Madfetted,
ally,ally,
or,or,
by,by,
letter.,letter.,
STrHII.II,SYPHILIS,
thorough];,thoroughly,
Madfetted,eradicated,
f,from,
from,the,
tbe,system,
ivtlem,without,
without,using,
using,Mercury.,
",",EVERY,
KVEnv,MAN,
M»-«,applying,
anting,to,
to,us,
x»,will,
*(m,receive,
Mcdra,our,
I,honest,
IkOMlt,opinion,
opinion,of,
of,his,
hti,complaint.,
[,We,
We,will,
Kilt,Guarantee,
Guarantiee,POSITIVE,
POSITJTFCVRghn—,CURE,
nan,in,
I,we,
we,"undertake,",
"undertake,",or,
or/orftit,forfeit,
On*,One,
"yfcow,—",Thousand,
wd,Dollars.,
"""",Write,
Write,for,
for,Book-Philososphy,
Book-Phlluaeplay,of,
"odMrrlan,",Marriage,
.,Mailed,
Htan,free.,
vaam.,(A,
(A,valuable,
valuable,book,
book,for,
Ipi,men.,
on.,),
},DR.,
8,JORDAN,
JOBJJMkJ.,&amp;,
"defO.,lOUMuk«tSt.S.F.","CO.,",
Longevity-,Longevity-,
of,of,
Irian,Irish,
Feaaants.,Peasants.,
■OURNISHED,FURNISHED,
ROOMS,ROOMS,
TO,TO,
BENt.-Apply,RENt.-Apply,
*t,at,
X!,Ledger,
Ledger,office.,
TilOR,FOR,
SALE-LOT,SALE-LOT,
OF,OF,
FOLDING,FOLDING,
"CHAIRS,","CHAIRS,",
_L,also,
3,"settees,",
also,suitable,
"settees,",for,
suitable,hall,
for,or,
hall,church.,
sep,sep,
37,27,
Amador,Amador,
'City.,City.,
TjlOR,FOR,
SALE,SALE,
OR,OR,
EXCHANGE,EXCHANGE,
—,—,
San,San,
Fran-,Fran-,
JLJ,cisco,
Cisco,real,
real,estate,
estate,for,
for,a,
a,business,
business,in,
In,Amador,
rpo,TO,
PRINTERS.—,PRINTERS.—,
A,A,
COMPLETE,COMPLETE,
OUTFIT,OUTFIT,
JL,for,
for,a,
a,Seven,
Seven,or,
or,Eight,
Eight,Column,
Column,"Paper,",
"Paper,",in-,
presents.,presents.,
of,of,
all,all,
kinds,kinds,
for.,for,
Christmas,Christmas,
and,and,
the,the,
holi-,holi-,
day,day,
eatings.,eatings.,
supervisors,supervisors,
was,was,
held,held,
December,December,
"'1,","2,",
when,when,
In,In,
the,the,
matter,matter,
of,of,
#NAME?,petition,
of,of,
L.,L.,
P.,P.,
Affidavit,Affidavit,
of,of,
publication,publication,
of,of,
iiotico,notice,
to,to,
uoo-,non-,
jections,jections,
of,of,
U\,U.,
P.,F.,
Elledge,Elledge,
presented.,presented.,
read.,read.,
E.,E.,
C.,C.,
"Voorheis,","Voorheis,",
W.,W.,
J.,J.,
"McGeo,","McGee,",
be,be,
takon,takon,
up,up,
at,at,
3,3,
p.,p.,
"m.,","m.,",
"January,","January,",
"G,","6,",
1902,1902,
F.,F.,
B.,B.,
Le,Le,
"Mom,","Mom,",
"mileage,","mileage,",
2,....,
0,2,
office,office,
io,.....,
50,10,
records,records,
n,......,
50,11,
L.,L.,
"Galli,","Galli,",
rebate,rebate,
on,on,
taxes,taxes,
1,...,
0,1,
months,months,
6,....,
10,6,
A.,A.,
B.,B.,
"McLaughlin,","McLaughlin,",
mileage...,mileage...,
300,3,
penses,penses,
39,......,
75,39,
Hand,Hand,
of,of,
a,a,
"Friend,""","Friend,""",
was,was,
given-,given,
here.,here.,
of,of,
the,the,
streets.,streets.,
■,Although,
Although,the,
the,weather,
three,three,
or,or,
four,four,
days,days,
#NAME?,of,
last,last,
week,week,
with,with,
Mrs.,Mrs.,
Wise,Wise,
is,is,
on,on,
the,the,
sick,sick,
list.,list.,
Patent,Patent,
Medicines,Medicines,
•,Tobaccos,
Just,Just,
as,as,
you,you,
buy,buy,
them,them,
here—,here—,
so,so,
do,do,
you,you,
buy,buy,
everything,everything,
we,we,
sell',sell,
Ayer's,Ayer's,
Hair,Hair,
"Vigor,","Vigor,",
$1.00 ,$1.00 ,
bot.,bot.,
7oc,70c,
',Seal,
Js^JJBf&gt;lvW»'wßM,of,
&lt;^^,North,
Seal,"Carolina,",
of,1,
North,lb,
Bythlnia,Bythlnia,
"Water,","Water,",
50c,50c,
bot,bot,
.....20c,.....20c,
j',•••,
1,55c,
***,Star,
Star,Chewing,
Chewing,"Tobacco,",
"Tobacco,",plug.,
plug.,45c,
DRUMS,DRUMS,
IRAtNSf^gSyjL^,TRAINS,
:,E.,
E.,GINOCCHIO,
GINOCCHIO,&amp;,
&amp;,BROTHER,
•,Wholesale,
Wholesale,and,
and,Retail,
Retail,Dealers,
Dealers,in,
General,General,
Merchandise,Merchandise,
•,Water,
Water,"Street,",
"Street,",Foot,
Foot,of,
of,"Broadway,",
"Broadway,",Jackson,
5,WE,
"""VV",TAKE,
E,PLEASURE,
TAKE,IN,
PLEASURE,INFORMING,
IN,OUR,
INFORMING,PA-,
.-«,trons,
TT,and,
trons,the,
and,public,
the,generally,
public,that,
generally,we,
that,have,
we,on,
have,hand,
on,a,
»,very,
very,choice,
choice,selected,
selected,stock,
stock,of,
of,DRY,
DRY,GOODS,
GOODS,of,
of,all,
all,"kinds,",
"kinds,",GRO-,
Z,CERIES,
CERIES,AND,
AND,"PROVISIONS,",
"PROVISIONS,",CLOTHING.,
CLOTHING.,BOOTS,
BOOTS,AND,
•,SHOES.,
SHOES.,We,
We,particularly,
particularly,direct,
direct,the,
the,attention,
attention,of,
of,the,
the,public,
m,to,
to,the,
the,fact,
fact,that,
that,we,
we,keep,
keep,on,
on,hand,
hand,tho,
tho,largest,
largest,assortment,
assortment,of,
..,IRON,
s,AND,
IRON,STEEL,
AND,to,
STEEL,be,
to,found,
be,in,
found,Amador,
in,county.,
Amador,Also,
county.,a,
I,superior,
superior,assortment,
assortment,of,
of,all,
all,kinds,
kinds,of,
of,"HARDWARE,",
"HARDWARE,",such,
such,as,
0,Carriage,
Carriage,Bolts.,
Bolts.,"Screws,",
"Screws,","Nuts,",
"Nuts,","Nails,",
"Nails,","and,",
"and,",in,
in,"fact,",
"fact,",everything,
m,the,
',market,
the,demands.,
market,We,
demands.,are,
We,sole,
are,agents,
sole,for,
agents,the,
for,celebrated,
Z,HURCULES,
HURCULES,"POWDER,",
"POWDER,",of,
of,which,
which,which,
which,we,
we,shall,
shall,constantly,
keep,keep,
on,on,
hand,hand,
a,a,
large,large,
supply.,supply.,
~,THE,
THE,NEW,
NATIONAL,NATIONAL,
HOTEL,HOTEL,
©J^^-&gt;,Foot,
Foot,of,
of,Main,
Main,Street,
_,"JACKSON,",
"JACKSON,",CAL.,
0,FIRST-CLASS,
o,ACCOMMODATIONS,
o,FOR,
o,TRAVELERS,
o,AT,
o,REASONABLE,
FIRST-CLASS,PRICES,
x,Sample,
k,Room,
Sample,for,
Room,Commercial,
for,Travelers,
"~""",Rooms,
Rooms,Newly,
Newly,Furnished,
Furnished,Throughout,
I,Table,
Table,Supplied,
Supplied,With,
With,the,
the,Best,
Best,in,
Id,the,
the,Market,
\,Wines,
tu,Liquors,
%sr^s,and,
t,Cigars,
PIONEER,PIONEER,
FLOUR,FLOUR,
IS,IS,
PERFECTION-^,PERFECTION,
a,Made,
Made,From.,
From.,SELECTED,
SELECTED,WHEAT,
|r,Blended,
Blended,According,
According,to,
to,Our,
Our,Own,
Own,Formula,
*i,Producing,
Produclno,Perfect,
Perfect,Results,
Results,and,
&lt;?,Snowy,
Snowy,White,
•,PIONEER,
PIOMEER,FLOOR,
FLOOR,MILLS.,
MILLS.,SACRAMENTO,
A,A,
Careful,Careful,
Investigation,Investigation,
Will,Will,
convince,convince,
every,every,
one,one,
that,that,
THE,THE,
-^,Amador,
A,Ledger,
:,is,
is,one,
one,of,
of,the,
the,"CLEANEST,",
"CLEANEST,",BRIGHTEST,
BRIGHTEST,and,
and,PRO-,
!,GRESSIVE,
GRESSIVE,Newspapers,
Newspapers,of,
of,the,
the,day.,
I,IT,
IT,IS,
IS,THE,
THE,OFFICIAL,
OFFICIAL,PAPER,
PAPER,OF,
OF,AMADOR,
AMADOR,COUNTY.,
!,Local,
Local,Social,
Social,"News,",
"News,",Agricultural,
Agricultural,and,
and,Political,
;,Notes,
Notes,and,
and,Accurate,
Accurate,Accounts,
Accounts,of,
of,the,
the,Lat-,
est,est,
Movements,Movements,
at,at,
the,the,
Mines,Mines,
Along,Along,
the,the,
1,Mother,
Mother,Lode.,
ADVERTISERS,ADVERTISERS,
in,will,
find,find,
THE,THE,
LEDGER,LEDGER,
read,read,
y,in,
in,a,
a,great,
great,majority,
majority,of,
of,the,
:,"HOMES,",
"HOMES,","OFFICES,",
"OFFICES,",and,
and,BUSINESS,
BUSINESS,HOUSES,
HOUSES,in,
this,this,
and,and,
adjoining,adjoining,
counties.,counties.,
JOB,JOB,
PRINTING,PRINTING,
|,You,
You,need,
need,it,
it,in,
in,your,
your,"business,",
"business,",but,
but,you,
you,want,
want,it,
it,done,
moderate,moderate,
price.,price.,
We,We,
can,can,
furnish,furnish,
you,you,
with,with,
anything,anything,
you,you,
need,need,
in,in,
the,the,
printing,printing,
"line,","line,",
but,but,
to,to,
jog,jog,
your,your,
memory,memory,
will,will,
mention,mention,
Bill,Bill,
"Heads,","Heads,",
"Statements,","Statements,",
"Receipts,","Receipts,",
"Envelopes,","Envelopes,",
Note,Note,
"Heads,","Heads,",
Calling,Calling,
and,and,
Wedding,Wedding,
"Cards,","Cards,",
"Posters,","Posters,",
etc.,etc.,
I,Orders,
Orders,by,
by,mail,
mail,will,
will,be,
be,promptly,
promptly,attended,
attended,to,
I,Amador,
Amador,County,
County,Publishing,
Publishing,"Co.,",
P.,P.,
O.,O.,
Box,Box,
234,234,
"Jackson,","Jackson,",
Cal.,Cal.,
I,There,
■,is,
■,nothing,
There,like,
is,Asthmalene.,
nothing-,It,
£U,brings,
Al,instant,
Mtll,"relief,",
brings,even,
instant,in,
"relief,",the,
even,worst,
I,cases.,
**,It,
l,cures,
"""■■•",whon,
cases.,all,
It,else,
cures,fails,
tff%,The,
»,Rev,
Tt,C.,
M,F.,
The,"Wells,",
Kov,of,
-,Villa,
v,"Ridge,",
TVII,"Ill.,",
I,says:,
&amp;r«,"""Your",
.,trial,
"111.,",bottle,
says:,of,
"""Your",Asth-,
YEARS,malene,
malouo,received,
received,in,
in,jjood,
jjood,condition.,
condition.,I,
■&amp;*%■!,cannot,
«9,tell,
cannot,you,
tell,how,
you,thankful,
how,I,
thankful,feel,
I,for,
Sunset,Sunset,
Route,Route,
for.,for,
■,JACKSON,
.,"GATE,",
;,CAL.,
Dealers,Dealers,
in,in,
Foreign,Foreign,
and,and,
Domestic,Domestic,
"bon,","bon,",
"Rye,","Rye,",
Sweet,Sweet,
and,and,
Sour,Sour,
Mash,Mash,
Whiskies,Whiskies,
"""of",of,
celebrated,celebrated,
distilleries.,distilleries.,
-,je28,
5,5,
cents,cents,
per,per,
Hue,line,
for,for,
less,less,
than,than,
one,one,
month.,month.,
X&gt;,BUILDING,
UILDING,LOTS'S,
LUi'S,FRONTING,
FRONTING,ON,
ON,STUMP,
JL&gt;,and,
and,Center,
Center,streets;,
streets;,lots,
lots,50x130,
50x130,feet,
feeti,for,
sale,sale,
cheap.,cheap.,
Apply,Apply,
Ledger,Ledger,
office.,office.,
TjTORNISHED,FURNISHED,
ROOMS,ROOMS,
TO,TO,
RENt.-Apply,RENT.-Apply,
kt,at,
X,Ledger,
Ledger,office.,
TTIOR,FOR,
SALE-LOT,SALE-LOT,
OF,OF,
FOLDING,FOLDING,
"CHAIRS,","CHAIRS,",
JLJ,also,
also,"settees,",
"settees,",suitable,
suitable,for,
for,hall,
hall,or,
or,church.,
Settees,Settees,
40c,40c,
per,per,
f,foot,
oot,;,
;,chairs,
chairs,50,
50,cents,
cents,each.,
each.,Ap-,
"dolls,","dolls,",
wheel,wheel,
"goods,","goods,",
"hooks,","hooks,",
etc..,etc..,
.,before,
"Hawkins,","Hawkins,",
the,the,
victim,victim,
of,of,
tho,the,
plot,plot,
just,just,
to,to,
be,be,
thought,thought,
'of.,of.,
After,After,
working,working,
for,for,
for,for,
so,some,
mo,time,
time,at,
at,the,
the,Standard,
Standard,Electric,
of,of,
business.,business.,
On,On,
the,the,
2sth,25th,
of,of,
that,that,
month,month,
eiHt,east,
of,of,
"Plymouth,","Plymouth,",
just,just,
over,over,
the,the,
border,border,
in,in,
El,El,
Dorado,Dorado,
"eouuty,","county,",
lias,has,
bi-en,been,
pur-,pur-,
chased,chased,
by,by,
eastern,eastern,
capitalists!,"capitalists,",
princi-,princi-,
pally,pally,
of,of,
Pennsylvania.,Pennsylvania.,
Under,Under,
tho,the,
ing,ing,
work,work,
with,with,
a,a,
view,view,
to,to,
tho,the,
early,early,
re-,re-,
',State,
State,Senator......,
Senator...,Hon.,
..Hon.,John,
John,F.,
F.,Davis,
Assemblyman,Assemblyman,
Hon.,.....,
Fred,Hon.,
L.,Fred,
Stewart,L.,
Superior,Superior,
Judge,Judge,
Hon.,.....,
R.,Hon.,
C.,R.,
Rust,C.,
Sheriff,Sheriff,
and,and,
Tax,Tax,
Collector,Collector,
U,....,
S.,U,
Gregory,S.,
Deputy,Deputy,
Sheriff,Sheriff,
J.,....,
Podesta,J.,
County,County,
Clerk,Clerk,
and,and,
Auditor,Auditor,
C.,....,
L.,C.,
Culbert,L.,
Deputy,Deputy,
County,County,
Clerk,Clerk,
B.,......,
R.,B.,
Breese,R.,
District,District,
Attorney,Attorney,
...C.,....,
P.,C.,
Vicini,P.,
Treasurer,Treasurer,
S.,......,
G,S.,
Spaguoli,G,
Reoordor,Recorder,
D.,.....,
A.,D.,
Patterson,A.,
Treasurer,Treasurer,
......,......,
S.,S.,
G,G,
Spaguoli,Spagnoli,
Deputy,Deputy,
Recorder,Recorder,
Root.,.....,
I.,Robt.,
Kerr,I.,
Assessor,Assessor,
John,......,
Merchant,John,
Deputy,Deputy,
Assessor,Assessor,
George,......,
V.,George,
Mack,F.,
Superintendent,Superintendent,
of,of,
Schools,Schools,
..,.....,
Geo.,Geo.,
A.,A.,
Gordon',Gordon,
Coroner,Coroner,
and,and,
Administrator,Administrator,
Geo.,...,
A.,Geo.,
Grittori,A.,
County,County,
Surveyor,Surveyor,
W.,....,
E.,W.,
Downs,E.,
Ry,By,
the,the,
solicitation,solicitation,
of,of,
many,many,
friends,friends,
and,and,
patients,patients,
DR.,DR.,
H.,H.,
EHRUGH,EHRICH,
£v,The,
"Eye,",Eminent,
"Ear,","Eye,",
Nose,"Ear,",
and,Nose,
Throat,and,
Surgeon,Throat,
8,8,
a.,a.,
m,m,
to,to,
3,3,
p.,p.,
nu,m.,
"sharp,","sharp,",
at,at,
Globe,Globe,
"Hotel,","Hotel,",
And^,And,
return,return,
once,once,
a,a,
mo.ith.,month.,
i,Do,
Do,you,
you,want,
want,that,
that,Catarrh,
Catarrh,cured?,
cored?,Do,
Do,you,
you,want,
want,that,
Deafnuis,Deafness,
curci?,cured,
1,?,
Kiy.iu,Do,
want,you,
to,want,
see,to,
with,see,
those,with,
"Weak,",those,
Waterr,"Weak,",
Dim,Watery,
Evast,Dim,
Ifln,Eyes?,
Gulzot,Guizot,
lived,lived,
through,through,
the,the,
most,most,
event-,event-,
born,born,
In,in,
1787,1787,
amid,amid,
the,the,
mutterings,mutterings,
of,of,
the,the,
revolution.,revolution.,
Gnlzof,Guizot's,
s,parents,
parents,were,
were,mar-,
ing,ing,
ln,in,
the,the,
interests,interests,
of,of,
the,the,
persecuted,persecuted,
After,After,
living,living,
for,for,
several,several,
weeks,weeks,
In,in,
dan-,dan-,
unwillingly,unwillingly,
"enough,","enough,",
by,by,
a,a,
gendarme,gendarme,
#NAME?,who,
T'TkT^T*r&gt;,TREES,
Fruit,Fruit,
and,and,
Orna-,Orna-,
I,mental,
1^,Shade,
Ld,Trees,
■1%,for,
I,street,
I,and,
A,roadside,
Aphis,Aphis,
rcslstlno,resisting,
Apples,Apples,
-,-,
"Nlles,","Nlles,",
Cal.,Cal.,
-,Land,
:,Office,
»,at,
-,"Sacramento,",
Land,"Cal.,",
"""VTOTICE",NOTICE,
IS,IS,
HEREBY,HEREBY,
GIVEN,GIVEN,
THAT,THAT,
THE,THE,
JLI,following-named,
following-named,settler,
settler,has,
has,filed,
filed,notice,
notice,of,
his,his,
intention,intention,
to,to,
make,make,
Onal,final,
proof,proof,
in,in,
support,support,
of,of,
bis,his,
"claim,","claim,",
and,and,
that,that,
said,said,
proof,proof,
will,will,
be,be,
made,made,
be-,be-,
decSO-et,son,
',P.,
THOMAS,O.,
"FRASER,",Cal.,
Register.,THOMAS,
|^,Union,
Union,Stables,
under,under,
Webb,Webb,
Hall,Hall,
•,M.,
—,"NEWMAN,",
M.,Prop.,
Special,Special,
Attention,Attention,
Paid,Paid,
*,to,
to,Transient,
Transient,Stock.,
Telegrams,Telegrams,
answered,answered,
free,free,
of,of,
cost.,cost.,
2-23-tf,2-23-tf,
SUNSET,SUNSET,
LIMITED,LIMITED,
One,One,
of,of,
the,the,
most,most,
magnificena,magnificent,
trains,trains,
ever-built.,ever-built.,
For,For,
IDOI-IJX)^,1901,
tw-weekly,tri-weekly,
via,via,
Coast,Coast,
Line,Line,
and,and,
Leave,Leave,
SAN,SAN,
FEANCISCO,FRANCISCO,
4.5,4.5,
p.,p.,
m.,m.,
Arrive,Arrive,
NEW,NEW,
OELEANS,OELEANS,
7:20,7:20,
p.,p.,
Selected,Selected,
Stock,Stock,
of,of,
Imported,Imported,
Goods.,Goods.,
-,Choice,
and,and,
Domestic,Domestic,
"Beers,","Beers,",
special,special,
bottling.,bottling.,
',Ha-,
Ha-,.,
"bon,","bon,",
"Rye,","Rye,",
Sweet,Sweet,
and,and,
Sour,Sour,
Mass,Mash,
Wkixkles,Whiskies,
ot,of,
celebrated,celebrated,
distilleries.,distilleries.,
Cain's.,Cain's.,
Turkey,Turkey,
dinner,dinner,
.every,every,
Sunday,Sunday,
at,at,
"■""",Home-made,
Home-made,"bread,",
"bread,","pies,",
"pies,",-,
-,"cakes,",
"cakes,",for,
Sile;,sale;,
Mrs,Mrs,
Jennie,Jennie,
"Larson,","Larson,",
Summit,Summit,
st.,st.,
i,Soused,
-,pig,
Soused,"feet,",
pig,"salami,",
"feet,",and,
"salami,",choice,
-,ham,
ham,and,
and,bacon,
bacon,at,
at,Caminetti's,
Caminetti's,Central,
Market.,Market.,
■,day,
day,there,
there,will,
will,be,
be,morning,
morning,prayer,
prayer,and,
sermon,sermon,
at,at,
11,11,
a.,a.,
ci.,m.,
•,J.,
J.,F.,
F.,"Solinsky,",
"Solinsky,",the,
the,well,
well,known,
known,at-,
#NAME?,Chico,
last,last,
"week,","week,",
on,on,
receipt,receipt,
of,of,
the,the,
news,news,
of,of,
the,the,
illness,illness,
of,of,
her,her,
mother.,mother.,
"""NUFF","""NUFF",
Ml,WELLER,
II,HDWE.,
I!,STORE,
«|gr,Union,
Union,Stables,
hJm&amp;fSIV,under,
.,Webb,
under,Hall,
Webb,*,
■,M.,
*,"NEWMAN,",
M.,Prop.,
Special,Special,
Attention,Attention,
Paid,Paid,
♦:,to,
to,Transient,
Transient,Stock.,
under,under,
Webb,Webb,
Hall,Hall,
last,last,
Sunday,Sunday,
with,with,
a,a,
conceit,concert,
from,from,
the,the,
Tho,Tho,
residence,residence,
of,of,
J.,J.,
I.,I.,
l'ool,Pool,
near,near,
Slab-,Slab-,
"town,","town,",
was,was,
burglarized,burglarized,
ami,and,
robbed,robbed,
the,the,
After,After,
the,the,
Stono,Stone,
Company,Company,
eot,got,
through,through,
placo,placo,
from,from,
tho,the,
Tabeaud,Tabeaud,
reservoir,reservoir,
to,to,
near,near,
"Slabtown,","Slabtown,",
and,and,
employ,employed,
oil,his,
his,time,
profession.,profession.,
A,A,
",man",man,
named,named,
George,George,
took,took,
therefrom',therefrom,
Pool's,Pool's,
best,best,
Bult,suit,
of,of,
"clothes,","clothes,",
an,an,
extra,extra,
"vest,","vest,",
13,18,
"razors,","razors,",
a,a,
shot-,shot-,
"vest,","vest,",
and,and,
•,partook,
partook,of,
of,liquid,
liquid,refresh-,
donned,donned,
the,the,
stolen,stolen,
"suit,","suit,",
and,and,
sot,set,
out,out,
on,on,
foot,foot,
toward,toward,
the,the,
yaljoy.,valley.,
Constable,Constable,
had,had,
just,just,
left,left,
that,that,
village.',village.,
At,At,
the,the,
ro,re-,
quest,quest,
of,of,
the,the,
"sheriff,","sheriff,",
G.,G.,
"W"".",W.,
Rainey,Rainey,
ar-,ar-,
rested,rested,
"Walder,","Walder,",
and,and,
held,held,
him,him,
until,until,
tho,the,
sheriff,sheriff,
"arrived,","arrived,",
and,and,
tpflk,took,
him,him,
tp,to,
Stock-,Stock-,
"eaten,","eaten,",
"Walt}?)-""",Walder,
g-drjijts,admits,
breaking,breaking,
into,into,
the,the,
house,house,
and,and,
taking,taking,
tba,the,
"property.""",property.,
new,new,
omssoul,crosscut,
tunnel.,tunnel.,
Tlw,The,
superin-,superin-,
addition,addition,
to,to,
"this,","this,",
he,he,
purchased,purchased,
tho,the,
re-,re-,
"ceiver,","ceiver,",
qut-pflhind,cut-off,
vajyes.,valves,
used,used,
in,in,
con-,con-,
work,work,
q!,of,
remgying,removing,
"these,","these,",
to,to,
the,the,
mine,mine,
ways,ways,
and,and,
for,for,
foundation,foundation,
worfc,work,
has,has,
al-,al-,
roady,roady,
"begun,,","begun,",
and,and,
pians,plans,
and,and,
estimates,estimates,
tion,tion,
of,of,
Messrs.,Messrs.,
Garbarini.,Garbarini,
of,of,
Jackson.,Jackson.,
"work,","work,",
after,after,
which,which,
it,it,
vvilj,will,
be,be,
in,in,
all,all,
re-,re-,
spepts,spects,
equal,equal,
to,to,
a,a,
new,new,
machine.,machine.,
#NAME?,The,
the,the,
not,net,
cost,cost,
of,of,
a,a,
new,new,
outfit.,outfit.,
The,The,
en-,en-,
tire,tire,
financial,financial,
Outlook,outlook,
of,of,
the,the,
company,company,
Is,is,
brighter,brighter,
than,than,
at,at,
any,any,
time,time,
since,since,
the,the,
Incorporation.,incorporation.,
Only,Only,
a,a,
few,few,
thousand,thousand,
make,make,
Del,Del,
Monte,Monte,
mino,mine,
one,one,
of,of,
tho,the,
busi-,busi-,
est,est,
little,little,
communities,communities,
in,in,
tho,the,
mining,mining,
belt.,belt.,
two,two,
feet,feet,
in,in,
width',width,
at,at,
a,a,
depth,depth,
of,of,
40,40,
"feet,","feet,",
#NAME?,with,
gopd,good,
prospect,prospect,
showing.,showing.,
Rail,Rail,
Rpad,Road,
Flat,Flat,
mining,mining,
district,district,
has,has,
de-,de-,
of,of,
them,them,
is,is,
being^,being,
prosecuted,prosecuted,
upon,upon,
ex-,ex-,
!,Ruhser's,
I,Cold,
I,Cream,
|,An,
Excellent,Excellent,
|,Skin,
Skin,Food,
Sold,Sold,
only,only,
!,AT,
IT,CITY,
Off,PHARMACY,
1?,ROBERT,
BOBEET,I.,
I.,KERR,
4jf,Main,
Main,Street,
Street,JACKSON,
"SUNSET""",SUNSET,
fOne,One,
of,of,
the,the,
most,most,
magnificen,magnificent,
trains,trains,
ever,ever,
built.,built.,
For,For,
1901-190,1901-1902,
tri-,tri-,
weekly,weekly,
via,via,
Coast,Coast,
Line,Line,
am,and,
tain,tain,
at,at,
the,the,
rate,rate,
2j,2/1/2002,
miles,miles,
an,an,
"hour,","hour,",
and,and,
down,down,
the,the,
"same""",same,
way,way,
at,at,
the,the,
rate,rate,
of,of,
four,four,
fur,for,
$750.00 ,$750.00 ,
He,He,
sold,sold,
the,the,
cows,cows,
at,at,
a,a,
profit,profit,
of,of,
sheep.,sheep.,
•,(COUNTY,
(COUNTY,OFFICIAL,
OFFICIAL,PAPER.),
One,One,
year,year,
(In,(In,
advance,advance,
12,........,
SO,$2 ,
One,One,
year,year,
(if,(if,
not,not,
in,in,
advance),advance),
3,....,
0,3,
Six,Six,
months,months,
1,......,
S5,1,
Threemonths,Three,
75,months,
One,One,
or,or,
more,more,
"copies,","copies,",
each,each,
10,.....,
Legal,Legal,
advertising—,advertising—,
per,per,
sqr.-lst,sqr.-1st,
"insertion,","insertion,",
tl,$1 ,
0,0,
i,Our,
uur,February,
reoruary,Clean-up,
vican-up,Sale,
;:,The,
The,Sale,
Sale,that,
that,means,
means,much,
much,to,
to,quick,
quick,buyers,
1,Odd,
1,lots—,
Odd,Winter,
lots—,goods,
Winter,and,
goods,broken,
and,lines,
broken,are,
lines,marked,
are,at,
marked,prices,
at,that,
prices,mean,
that,a,
mean,saving,
a,J,
;,of,
of,from,
from,a,
a,third,
third,to,
to,a,
a,half,
half,of,
of,the,
the,early,
early,season,
season,price.,
;,It's,
;,pure,
:,carelessness,
.,on,
It's,your,
pure,part,
carelessness,if,
on,you,
your,don't,
part,take,
if,advantage,
you,of,
don't,this,
take,sale.,
advantage,:,
of,.,
this,It,
sale.,will,
:,i,
I,be,
;,many,
be,long,
many,days,
long,before,
days,such,
before,exceptional,
such,chances,
exceptional,await,
chances,you.,
ill,Whatever,
sell,others,
for,advertise,
Uss,we,
\,sell,
',for,
others,less,
The,The,
latter,latter,
waistcoat,waistcoat,
Is,is,
olive,olive,
green,green,
In,in,
"tolor,","color,",
conforming,conforming,
to,to,
the,the,
college,college,
regula-,regula-,
of,of,
moisture,moisture,
stood,stood,
out,out,
upon,upon,
his,his,
■,fore-,
head.,head.,
His,His,
feet,feet,
were,were,
working,working,
like,like,
the*,the,
the,the,
ground,ground,
iv,in,
the,the,
more,more,
nltitudinous,altitudinous,
places.,places.,
Faster',Faster,
went,went,
the,the,
street,street,
car.,car.,
Faster,Faster,
He,He,
reaches,reaches,
out,out,
bis,his,
hand.,hand.,
form.,form.,
baby,baby,
was,was,
knocked,knocked,
into,into,
the,the,
street.,street.,
Tho,The,
•how,show,
ability,ability,
In,in,
New_York,New,
or,York,
In,or,
other,in,
All,All,
BsmOa,Hands,
Smokin*.,Smoking,
Tobacco,Tobacco,
is,is,
Id,in,
Tehuantepec,Tehuantepec,
a,a,
great,great,
night's,night's,
"shelter,","shelter,",
Mexican,Mexican,
fashion;,"fashion,",
at,at,
a,a,
hacienda,hacienda,
or,or,
farmhouse.,farmhouse.,
"Hotel*,","Hotels,",
ex-,ex-,
cept,cept,
In,In,
the,the,
large,large,
"towns,","towns,",
an,are,
unknown.,unknown.,
It,It,
was,was,
about,about,
Op.,9,
m.,p.,
when,m.,
we,when,
arrived.,we,
us,us,
we,we,
